case_key,index_key,window_size,model_name,config_index,config_key,config_summary,config_json,run_stage,window_id,train_end_date,test_reference_date,test_target_date,is_tuning_window,reference_close,target_close,y_true,y_pred,actual_close,predicted_close,fit_seconds,status,error_message,error_points,error_pct,abs_error_pct
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,1,2022-02-28,2022-03-01,2022-03-02,True,2512.320068359375,2560.02001953125,2560.02001953125,2548.737060546875,2560.02001953125,2548.737060546875,0.0041910419240593,completed,,-11.282958984375,-0.4407371387056948,0.4407371387056948
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,2,2022-03-01,2022-03-02,2022-03-03,True,2560.02001953125,2541.0,2541.0,2549.71142578125,2541.0,2549.71142578125,0.0038761249743402,completed,,8.71142578125,0.342834544716647,0.342834544716647
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,3,2022-03-02,2022-03-03,2022-03-04,True,2541.0,2516.070068359375,2516.070068359375,2547.70556640625,2516.070068359375,2547.70556640625,0.0038917921483516,completed,,31.635498046875,1.2573377206264846,1.2573377206264846
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,4,2022-03-03,2022-03-04,2022-03-07,True,2516.070068359375,2439.179931640625,2439.179931640625,2549.266845703125,2439.179931640625,2549.266845703125,0.0037115002050995,completed,,110.0869140625,4.513275656070771,4.513275656070771
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,5,2022-03-04,2022-03-07,2022-03-08,True,2439.179931640625,2425.590087890625,2425.590087890625,2538.641357421875,2425.590087890625,2538.641357421875,0.0038605001755058,completed,,113.05126953125,4.660773891501313,4.660773891501313
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,6,2022-03-07,2022-03-08,2022-03-09,True,2425.590087890625,2490.25,2490.25,2469.78759765625,2490.25,2469.78759765625,0.0037711248733103,completed,,-20.46240234375,-0.8217007265836763,0.8217007265836763
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,7,2022-03-08,2022-03-09,2022-03-10,True,2490.25,2479.64990234375,2479.64990234375,2533.877197265625,2479.64990234375,2533.877197265625,0.0037800837308168,completed,,54.227294921875,2.186893192890645,2.186893192890645
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,8,2022-03-09,2022-03-10,2022-03-11,True,2479.64990234375,2445.110107421875,2445.110107421875,2500.360595703125,2445.110107421875,2500.360595703125,0.0039004166610538,completed,,55.25048828125,2.259631912425659,2.259631912425659
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,9,2022-03-10,2022-03-11,2022-03-14,True,2445.110107421875,2422.010009765625,2422.010009765625,2489.90087890625,2422.010009765625,2489.90087890625,0.0037812078371644,completed,,67.890869140625,2.8030796267103257,2.8030796267103257
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,10,2022-03-11,2022-03-14,2022-03-15,True,2422.010009765625,2472.1201171875,2472.1201171875,2469.9296875,2472.1201171875,2469.9296875,0.0043813749216496,completed,,-2.1904296875,-0.0886053097610816,0.0886053097610816
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,11,2022-03-14,2022-03-15,2022-03-16,True,2472.1201171875,2532.64990234375,2532.64990234375,2466.759033203125,2532.64990234375,2466.759033203125,0.0040667918510735,completed,,-65.890869140625,-2.601657223907997,2.601657223907997
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,12,2022-03-15,2022-03-16,2022-03-17,True,2532.64990234375,2566.4599609375,2566.4599609375,2503.472900390625,2566.4599609375,2503.472900390625,0.0042273332364857,completed,,-62.987060546875,-2.4542389714066104,2.4542389714066104
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,13,2022-03-16,2022-03-17,2022-03-18,True,2566.4599609375,2598.199951171875,2598.199951171875,2528.612060546875,2598.199951171875,2528.612060546875,0.0041839578188955,completed,,-69.587890625,-2.67831159775111,2.67831159775111
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,14,2022-03-17,2022-03-18,2022-03-21,True,2598.199951171875,2593.89990234375,2593.89990234375,2569.42626953125,2593.89990234375,2569.42626953125,0.0040117497555911,completed,,-24.4736328125,-0.943507218238705,0.943507218238705
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,15,2022-03-18,2022-03-21,2022-03-22,True,2593.89990234375,2624.6298828125,2624.6298828125,2578.33154296875,2624.6298828125,2578.33154296875,0.0040534171275794,completed,,-46.29833984375,-1.7639949978066105,1.7639949978066105
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,16,2022-03-21,2022-03-22,2022-03-23,True,2624.6298828125,2590.89990234375,2590.89990234375,2594.917724609375,2590.89990234375,2594.917724609375,0.0038877921178936,completed,,4.017822265625,0.1550743917968596,0.1550743917968596
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,17,2022-03-22,2022-03-23,2022-03-24,True,2590.89990234375,2626.909912109375,2626.909912109375,2586.89794921875,2626.909912109375,2586.89794921875,0.0038370406255126,completed,,-40.011962890625,-1.5231570259101843,1.5231570259101843
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,18,2022-03-23,2022-03-24,2022-03-25,True,2626.909912109375,2637.3701171875,2637.3701171875,2594.5927734375,2637.3701171875,2594.5927734375,0.0038071246817708,completed,,-42.77734375,-1.6219696837855242,1.6219696837855242
RUSSELL3000_w20,RUSSELL3000,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,19,2022-03-24,2022-03-25,2022-03-28,True,2637.3701171875,2655.489990234375,2655.489990234375,2607.548095703125,2655.489990234375,2607.548095703125,0.0036676656454801,completed,,-47.94189453125,-1.8053878835001227,1.8053878835001227
